No.,Constituency,UDF candidate,UDF Votes,UDF %,UDF Party,LDF candidate,LDF Votes,LDF %,LDF Party,NDA candidate,NDA Votes,NDA %,NDA Party,Winning alliance,Margin,Total Voters
1,Kasaragod,N. A. Mohammed,329028,36.5,INC,P. Karunakaran,437284,48.5,CPI(M),V. Balakrishna Shetty,110328,12.2,BJP,Left Democratic Front,108256,1197055
2,Kannur,Mullappally Ramachandran,351209,40.8,INC,A. P. Abdullakutty,435058,50.5,CPI(M),O. K. Vasu,47213,5.4,BJP,Left Democratic Front,83849,861609
3,Vatakara,M. T. Padma,298705,36.1,INC,P. Satheedevi,429294,51.8,CPI(M),K. P. Sreesan,81901,9.9,BJP,Left Democratic Front,130589,829737
4,Kozhikode,V. Balram,274785,35.2,INC,M.P. Veerendra Kumar,340111,43.5,JD(S),M. T. Ramesh,97711,12.5,BJP,Left Democratic Front,65326,781836
5,Manjeri,K. P. A. Majeed,379177,41.8,IUML,T. K. Hamza,426920,47.1,CPI(M),Uma Unni,84149,9.3,BJP,Left Democratic Front,47743,906532
6,Ponnani,E. Ahamed,354051,48.5,IUML,P. P. Suneer,251293,34.4,CPI,Aravindan,71609,9.8,BJP,United Democratic Front,102758,729907
7,Palakkad,V. S. Vijaya Raghavan,276986,33.7,INC,N. N. Krishnadas,375144,45.7,CPI(M),C. Udai Bhasker,147792,18,BJP,Left Democratic Front,98158,820210
8,Ottapalam,K. A. Thulasi,325518,40.3,INC,S. Ajaya Kumar,395928,49,CPI(M),Velayudhan,68193,8.5,BJP,Left Democratic Front,70410,807590
9,Thrissur,A. C. Jose,274999,40,INC,C. K. Chandrappan,320960,46.7,CPI,P. S. Sreeraman,72042,10.5,BJP,Left Democratic Front,45961,687381
10,Mukundapuram,Padmaja Venugopal,258078,35.7,INC,Lonappan Nambadan,375175,51.9,CPI(M),Mathew Pailee,62338,8.6,BJP,Left Democratic Front,117097,722770
11,Ernakulam,Edward Edezhath,252943,38.4,INC,Sebastian Paul,323042,49,IND-LDF,O. G. Thankappan,60697,9.2,BJP,Left Democratic Front,70099,659247
12,Muvattupuzha,Jose K. Mani,209880,28,KEC(M),P. M. Ismail,255882,34.3,CPI(M),P. C. Thomas,256411,34.4,IFDP,National Democratic Alliance,529,745090
13,Kottayam,Vijayamma. S,298299,46.3,INC,K. Suresh Kurup,341213,44.3,CPI(M),B. Radhakrishna Menon,53034,7.5,BJP,United Democratic Front,42914,644007
14,Idukki,Benny Behanan,284521,39,INC,K. Francis George,353905,48.5,KEC,S. T. B. Mohandas,58290,8,BJP,Left Democratic Front,69384,729896
15,Alappuzha,V. M. Sudheeran,334485,45.8,INC,K. S. Manoj,335494,46,CPI(M),V. Padmanabhan,43891,6,BJP,Left Democratic Front,1009,729742
16,Mavelikkara,Ramesh Chennithala,270867,42,INC,C. S. Sujatha,278281,43.2,CPI(M),S. Krishna Kumar,83013,12.9,NDA,Left Democratic Front,7414,643161
17,Adoor,Kodikunnil Suresh,277682,40.6,INC,Chengara Surendran,332216,48.5,CPI(M),P. M. Velayudhan,61907,9,BJP,Left Democratic Front,54534,684764
18,Kollam,Sooranad Rajasekharan,244208,34.6,INC,P. Rajendran,355279,50.4,CPI(M),Kizhakkanela Sudhakaran,62183,8.8,BJP,Left Democratic Front,111071,704591
19,Chirayinkil,M. I. Shanavas,262870,39.3,INC,Varkala Radhakrishnan,313612,46.8,CPI(M),J. R. Padmakumar,71982,10.7,BJP,Left Democratic Front,50742,670058
20,Trivandrum,V. S. Sivakumar,316124,41.63,INC,Pannyan Raveendran,390324,51.41,CPI,C. K. Padmanabhan,36690,29.9,BJP,Left Democratic Front,74200,759366