#,Constituency,Year,Alliance,Candidate Party,Candidate Name,Total Candidate Votes,Candidate Vote Share Percentage,Total Electors,Total Votes Polled,Voter TurnOut Percentage
1,Kasaragod,2024,UDF,INC,Rajmohan Unnithan,490659,44.1,1463106,1112546,76.04
1,Kasaragod,2024,LDF,CPI(M),MV Balakrishnan,390010,35.06,1463106,1112546,76.04
1,Kasaragod,2024,NDA,BJP,ML Ashwini,219558,19.73,1463106,1112546,76.04
2,Kannur,2024,UDF,INC,K. Sudhakaran,518524,48.74,1377872,1063855,77.21
2,Kannur,2024,LDF,CPI(M),MV Jayarajan,409542,38.5,1377872,1063855,77.21
2,Kannur,2024,NDA,BJP,C Raghunath,119876,11.27,1377872,1063855,77.21
3,Vatakara,2024,UDF,INC,Shafi Parambil,557528,49.65,1432148,1122947,78.41
3,Vatakara,2024,LDF,CPI(M),K. K. Shailaja,443022,39.45,1432148,1122947,78.41
3,Vatakara,2024,NDA,BJP,Prafulla Krishna,111979,9.97,1432148,1122947,78.41
4,Wayanad,2024,UDF,INC,Rahul Gandhi,647445,59.69,1474314,1084653,73.57
4,Wayanad,2024,LDF,CPI,Annie Raja,283023,26.09,1474314,1084653,73.57
4,Wayanad,2024,NDA,BJP,K Surendran,141045,13,1474314,1084653,73.57
5,Kozhikode,2024,UDF,INC,MK Raghavan,520421,47.74,1443392,1090050,75.52
5,Kozhikode,2024,LDF,CPI(M),Elamaram Kareem,374245,34.33,1443392,1090050,75.52
5,Kozhikode,2024,NDA,BJP,MT Ramesh,180666,16.57,1443392,1090050,75.52
6,Malappuram,2024,UDF,IUML,ET Mohammed Basheer,644006,59.35,1487570,1085182,72.95
6,Malappuram,2024,LDF,CPI(M),V Vaseef,343888,31.69,1487570,1085182,72.95
6,Malappuram,2024,NDA,BJP,M Abdul Salam,85361,7.87,1487570,1085182,72.95
7,Ponnani,2024,UDF,IUML,Abdussamad Samadani,562516,54.81,1480092,1026296,69.34
7,Ponnani,2024,LDF,CPI(M),K.S. Hamza,326756,31.84,1480092,1026296,69.34
7,Ponnani,2024,NDA,BJP,Niveditha Subramanian,124798,12.16,1480092,1026296,69.34
8,Palakkad,2024,UDF,INC,VK Sreekandan,421169,40.66,1407960,1035836,73.57
8,Palakkad,2024,LDF,CPI(M),A Vijayaraghavan,345886,33.39,1407960,1035836,73.57
8,Palakkad,2024,NDA,BJP,C KrishnaKumar,251778,24.31,1407960,1035836,73.57
9,Alathur (SC),2024,UDF,INC,Ramya Haridas,383336,38.63,1351496,992268,73.42
9,Alathur (SC),2024,LDF,CPI(M),K. Radhakrishnan,403447,40.66,1351496,992268,73.42
9,Alathur (SC),2024,NDA,BJP,TN Sarasu,188230,18.97,1351496,992268,73.42
10,Thrissur,2024,UDF,INC,K Muraleedharan,328124,30.08,1496401,1090876,72.9
10,Thrissur,2024,LDF,CPI,VS Sunil Kumar,337652,30.95,1496401,1090876,72.9
10,Thrissur,2024,NDA,BJP,Suresh Gopi,412338,37.8,1496401,1090876,72.9
11,Chalakudy,2024,UDF,INC,Benny Behanan,394171,41.44,1322334,951287,71.94
11,Chalakudy,2024,LDF,CPI(M),C Raveendranath,330417,34.73,1322334,951287,71.94
11,Chalakudy,2024,NDA,BDJS,KA Unnikrishnan,106400,11.18,1322334,951287,71.94
12,Ernakulam,2024,UDF,INC,Hibi Eden,482317,52.97,1333287,910502,68.29
12,Ernakulam,2024,LDF,CPI(M),KJ Shine,231932,25.47,1333287,910502,68.29
12,Ernakulam,2024,NDA,BJP,KS Radhakrishnan,144500,15.87,1333287,910502,68.29
13,Idukki,2024,UDF,INC,Dean Kuriakose,432372,51.43,1263196,840657,66.55
13,Idukki,2024,LDF,CPI(M),Joice George,298645,35.53,1263196,840657,66.55
13,Idukki,2024,NDA,BDJS,Sangeetha Vishwanathan,91323,10.86,1263196,840657,66.55
14,Kottayam,2024,UDF,KEC,Francis George,364631,43.6,1274536,836223,65.61
14,Kottayam,2024,LDF,KC(M),Thomas Chazhikadan,277365,33.17,1274536,836223,65.61
14,Kottayam,2024,NDA,BDJS,Thushar Velapally,165046,19.74,1274536,836223,65.61
15,Alappuzha,2024,UDF,INC,KC Venugopal,404560,38.21,1410664,1058703,75.05
15,Alappuzha,2024,LDF,CPI(M),AM Ariff,341047,32.21,1410664,1058703,75.05
15,Alappuzha,2024,NDA,BJP,Sobha Surendran,299648,28.3,1410664,1058703,75.05
16,Mavelikkara (SC),2024,UDF,INC,Kodikunnil Suresh,369516,41.29,1357045,894971,65.95
16,Mavelikkara (SC),2024,LDF,CPI,CA Arun Kumar,358648,40.07,1357045,894971,65.95
16,Mavelikkara (SC),2024,NDA,BDJS,Baiju Kalasala,142984,15.98,1357045,894971,65.95
17,Pathanamthitta,2024,UDF,INC,Anto Antony,367623,39.98,1451111,919569,63.37
17,Pathanamthitta,2024,LDF,CPI(M),Thomas Issac,301504,32.79,1451111,919569,63.37
17,Pathanamthitta,2024,NDA,BJP,Anil Antony,234406,25.49,1451111,919569,63.37
18,Kollam,2024,UDF,RSP(I),NK Premachandran,443628,48.45,1343640,915691,68.15
18,Kollam,2024,LDF,CPI(M),Mukesh Madhavan,293326,32.03,1343640,915691,68.15
18,Kollam,2024,NDA,BJP,G Krishnakumar,163210,17.82,1343640,915691,68.15
19,Attingal,2024,UDF,INC,Adoor Prakash,328051,33.29,1418165,985341,69.48
19,Attingal,2024,LDF,CPI(M),V Joy,327367,33.22,1418165,985341,69.48
19,Attingal,2024,NDA,BJP,V Muraleedharan,311779,31.64,1418165,985341,69.48
20,Thiruvananthapuram,2024,UDF,INC,Shashi Tharoor,358155,37.19,1448748,962983,66.47
20,Thiruvananthapuram,2024,LDF,CPI,Pannyan Raveendran,247648,25.72,1448748,962983,66.47
20,Thiruvananthapuram,2024,NDA,BJP,Rajeev Chandrasekhar,342078,35.52,1448748,962983,66.47
1,Kasaragod,2019,UDF,INC,Rajmohan Unnithan,474961,43.75,1363937,1100099,80.6
1,Kasaragod,2019,LDF,CPI(M),K. P. Satheesh Chandran,434523,40.03,1363937,1100099,80.6
1,Kasaragod,2019,NDA,BJP,Raveesh Thanthri Kuntar,176049,16.22,1363937,1100099,80.6
2,Kannur,2019,UDF,INC,K. Sudhakaran,529741,51.26,1266550,1054746,83.2
2,Kannur,2019,LDF,CPI(M),P. K. Sreemathy,435182,42.11,1266550,1054746,83.2
2,Kannur,2019,NDA,BJP,C. K. Padmanabhan,68509,6.63,1266550,1054746,83.2
3,Vatakara,2019,UDF,INC,K. Muraleedharan,526755,50.22,1288926,1065932,82.6
3,Vatakara,2019,LDF,CPI(M),P. Jayarajan,442092,42.15,1288926,1065932,82.6
3,Vatakara,2019,NDA,BJP,V. K. Sajeevan,80128,7.64,1288926,1065932,82.6
4,Wayanad,2019,UDF,INC,Rahul Gandhi,706367,66.65,1359679,1092759,80.3
4,Wayanad,2019,LDF,CPI,P. P. Suneer,274597,25.91,1359679,1092759,80.3
4,Wayanad,2019,NDA,BDJS,Thushar Vellapally,78816,7.44,1359679,1092759,80.3
5,Kozhikode,2019,UDF,INC,M. K. Raghavan,493444,46.43,1318024,1076882,81.7
5,Kozhikode,2019,LDF,CPI(M),A. Pradeepkumar,408219,38.41,1318024,1076882,81.7
5,Kozhikode,2019,NDA,BJP,K. P. Prakash Babu,161216,15.17,1318024,1076882,81.7
6,Malappuram,2019,UDF,IUML,P. K. Kunhalikutty,589873,58.87,1370544,1034799,75.5
6,Malappuram,2019,LDF,CPI(M),V. P. Sanu,329720,32.91,1370544,1034799,75.5
6,Malappuram,2019,NDA,BJP,Unnikrishnan Master,82332,8.22,1370544,1034799,75.5
7,Ponnani,2019,UDF,IUML,E. T. Mohammed Basheer,521824,54.3,1356803,1017366,74.9
7,Ponnani,2019,LDF,Independent,P. V. Anvar,328551,34.19,1356803,1017366,74.9
7,Ponnani,2019,NDA,BJP,V. T. Rema,110603,11.51,1356803,1017366,74.9
8,Palakkad,2019,UDF,INC,V.K Sreekandan,399274,39.71,1323010,1028874,77.7
8,Palakkad,2019,LDF,CPI(M),M. B. Rajesh,387637,38.55,1323010,1028874,77.7
8,Palakkad,2019,NDA,BJP,C. Krishnakumar,218556,21.74,1323010,1028874,77.7
9,Alathur (SC),2019,UDF,INC,Remya Haridas,533815,53.46,1266794,1019376,80.4
9,Alathur (SC),2019,LDF,CPI(M),P. K. Biju,374847,37.54,1266794,1019376,80.4
9,Alathur (SC),2019,NDA,BDJS,T. V. Babu,89837,9,1266794,1019376,80.4
10,Thrissur,2019,UDF,INC,T. N. Prathapan,415089,40.29,1337110,1042122,77.9
10,Thrissur,2019,LDF,CPI,Rajaji Mathew Thomas,321456,31.2,1337110,1042122,77.9
10,Thrissur,2019,NDA,BJP,Suresh Gopi,293822,28.52,1337110,1042122,77.9
11,Chalakudy,2019,UDF,INC,Benny Behanan,473444,48.87,1230197,990433,80.5
11,Chalakudy,2019,LDF,CPI(M),Innocent Vareed Thekkethala,341170,35.22,1230197,990433,80.5
11,Chalakudy,2019,NDA,BJP,A. N. Radhakrishnan,154159,15.91,1230197,990433,80.5
12,Ernakulam,2019,UDF,INC,Hibi Eden,491263,51.65,1245972,967390,77.6
12,Ernakulam,2019,LDF,CPI(M),P. Rajeev,322110,33.87,1245972,967390,77.6
12,Ernakulam,2019,NDA,BJP,Alphons Kannanthanam,137749,14.48,1245972,967390,77.6
13,Idukki,2019,UDF,INC,Dean Kuriakose,498493,55.11,1204191,919559,76.3
13,Idukki,2019,LDF,Independent,Joice George,327440,36.2,1204191,919559,76.3
13,Idukki,2019,NDA,BDJS,Biju Krishnan,78648,8.69,1204191,919559,76.3
14,Kottayam,2019,UDF,KC(M),Thomas Chazhikadan,421046,47.26,1206698,910648,75.4
14,Kottayam,2019,LDF,CPI(M),V. N. Vasavan,314787,35.33,1206698,910648,75.4
14,Kottayam,2019,NDA,KC(T),P. C. Thomas,155135,17.41,1206698,910648,75.4
15,Alappuzha,2019,UDF,INC,Shanimol Usman,435496,40.73,1356701,1090112,80.3
15,Alappuzha,2019,LDF,CPI(M),A. M. Ariff,445970,41.71,1356701,1090112,80.3
15,Alappuzha,2019,NDA,BJP,K. S. Radhakrishnan,187729,17.56,1356701,1090112,80.3
16,Mavelikkara (SC),2019,UDF,INC,Kodikunnil Suresh,440415,46.2,1308102,972360,74.3
16,Mavelikkara (SC),2019,LDF,CPI,Chittayam Gopakumar,379277,39.79,1308102,972360,74.3
16,Mavelikkara (SC),2019,NDA,BDJS,Thazhava Sahadevan,133546,14.01,1308102,972360,74.3
17,Pathanamthitta,2019,UDF,INC,Anto Antony,380927,37.53,1382741,1027378,74.3
17,Pathanamthitta,2019,LDF,CPI(M),Veena George,336684,33.17,1382741,1027378,74.3
17,Pathanamthitta,2019,NDA,BJP,K. Surendran,297396,29.3,1382741,1027378,74.3
18,Kollam,2019,UDF,RSP,N. K. Premachandran,499677,52.39,1296720,969017,74.7
18,Kollam,2019,LDF,CPI(M),K. N. Balagopal,350821,36.78,1296720,969017,74.7
18,Kollam,2019,NDA,BJP,K. V. Sabu,103339,10.83,1296720,969017,74.7
19,Attingal,2019,UDF,INC,Adoor Prakash,380995,39.2,1350710,1006048,74.4
19,Attingal,2019,LDF,CPI(M),A. Sampath,342748,35.27,1350710,1006048,74.4
19,Attingal,2019,NDA,BJP,Shobha Surendran,248081,25.53,1350710,1006048,74.4
20,Thiruvananthapuram,2019,UDF,INC,Shashi Tharoor,416151,42,1371427,1011268,73.7
20,Thiruvananthapuram,2019,LDF,CPI,C. Divakaran,258556,26.09,1371427,1011268,73.7
20,Thiruvananthapuram,2019,NDA,BJP,Kummanam Rajasekharan,316142,31.91,1371427,1011268,73.7
1,Kasaragod,2014,UDF,INC,T. Siddique,378043,38.8,1243730,975195,78.41
1,Kasaragod,2014,LDF,CPI(M),P. Karunakaran,384964,39.5,1243730,975195,78.41
1,Kasaragod,2014,NDA,BJP,K. Surendran,172826,17.7,1243730,975195,78.41
2,Kannur,2014,UDF,INC,K. Sudhakaran,421056,44.5,1170266,948572,81.06
2,Kannur,2014,LDF,CPI(M),P. K. Sreemathy,427622,45.1,1170266,948572,81.06
2,Kannur,2014,NDA,BJP,P. C. Mohanan,51636,5.5,1170266,948572,81.06
3,Vatakara,2014,UDF,INC,Mullappally Ramachandran,416479,43.4,1182504,960264,81.21
3,Vatakara,2014,LDF,CPI(M),A. N. Shamseer,413173,43.1,1182504,960264,81.21
3,Vatakara,2014,NDA,BJP,V. K. Sajeevan,76313,8,1182504,960264,81.21
4,Wayanad,2014,UDF,INC,M. I. Shanavas,377035,41.2,1249420,915138,73.25
4,Wayanad,2014,LDF,CPI,Sathyan Mokeri,356165,38.9,1249420,915138,73.25
4,Wayanad,2014,NDA,BJP,P. R. Rasmilnath,80752,8.8,1249420,915138,73.25
5,Kozhikode,2014,UDF,INC,M. K. Raghavan,397615,42.2,1182484,943227,79.77
5,Kozhikode,2014,LDF,CPI(M),A. Vijayaraghavan,380732,40.4,1182484,943227,79.77
5,Kozhikode,2014,NDA,BJP,C. K. Padmanabhan,115760,12.3,1182484,943227,79.77
6,Malappuram,2014,UDF,IUML,E. Ahammed,437723,51.3,1198444,853468,71.21
6,Malappuram,2014,LDF,CPI(M),P. K. Sainaba,242984,28.5,1198444,853468,71.21
6,Malappuram,2014,NDA,BJP,N. Sreeprakash,64705,7.6,1198444,853468,71.21
7,Ponnani,2014,UDF,IUML,E. T. Muhammed Basheer,378503,43.4,1180789,871595,73.81
7,Ponnani,2014,LDF,IND,V. Abdurahiman,353093,40.5,1180789,871595,73.81
7,Ponnani,2014,NDA,BJP,Narayanan,75212,8.6,1180789,871595,73.81
8,Palakkad,2014,UDF,SJ(D),M. P. Veerendrakumar,307597,33.8,1208726,910476,75.33
8,Palakkad,2014,LDF,CPI(M),M. B. Rajesh,412897,45.4,1208726,910476,75.33
8,Palakkad,2014,NDA,BJP,Sobha Surendran,136587,15,1208726,910476,75.33
9,Alathur (SC),2014,UDF,INC,Sheeba,374496,40.4,1216351,928656,76.35
9,Alathur (SC),2014,LDF,CPI(M),P. K. Biju,411808,44.4,1216351,928656,76.35
9,Alathur (SC),2014,NDA,BJP,Shajumon Vattekkattu,87803,9.5,1216351,928656,76.35
10,Thrissur,2014,UDF,INC,K. P. Dhanapalan,350982,38.1,1275288,920667,72.19
10,Thrissur,2014,LDF,CPI,C. N. Jayadevan,389209,42.3,1275288,920667,72.19
10,Thrissur,2014,NDA,BJP,K. P. Sreesan,102681,11.2,1275288,920667,72.19
11,Chalakudy,2014,UDF,INC,P. C. Chacko,344556,39,1150497,885037,76.93
11,Chalakudy,2014,LDF,IND,Innocent,358440,40.5,1150497,885037,76.93
11,Chalakudy,2014,NDA,BJP,B. Gopalakrishnan,92848,10.5,1150497,885037,76.93
12,Ernakulam,2014,UDF,INC,K. V. Thomas,353841,41.6,1156492,850910,73.58
12,Ernakulam,2014,LDF,IND,Christy Fernandez,266794,31.4,1156492,850910,73.58
12,Ernakulam,2014,NDA,BJP,A. N. Radhakrishnan,99003,11.6,1156492,850910,73.58
13,Idukki,2014,UDF,INC,Dean Kuriakose,331477,40.4,1158735,820267,70.79
13,Idukki,2014,LDF,IND,Joice George,382019,46.6,1158735,820267,70.79
13,Idukki,2014,NDA,BJP,Sabu Varghese,50438,6.2,1158735,820267,70.79
14,Kottayam,2014,UDF,KC(M),Jose K Mani,424194,51,1161465,832421,71.67
14,Kottayam,2014,LDF,JD(S),Mathew T. Thomas,303595,36.5,1161465,832421,71.67
14,Kottayam,2014,NDA,KC(N),Noble Mathew,44357,5.3,1161465,832421,71.67
15,Alappuzha,2014,UDF,INC,K. C. Venugopal,462525,46.4,1271324,998656,78.55
15,Alappuzha,2014,LDF,CPI(M),C. B. Chandrababu,443118,44.4,1271324,998656,78.55
15,Alappuzha,2014,NDA,RSP(B),A. V. Thamarakshan,43051,4.3,1271324,998656,78.55
16,Mavelikkara (SC),2014,UDF,INC,Kodikkunnil Suresh,402432,45.3,1252668,889269,70.99
16,Mavelikkara (SC),2014,LDF,CPI,Chengara Surendran,369695,41.6,1252668,889269,70.99
16,Mavelikkara (SC),2014,NDA,BJP,P. Sudheer,79743,9,1252668,889269,70.99
17,Pathanamthitta,2014,UDF,INC,Anto Antony Punnathaniyil,358842,41.3,1323906,871251,65.81
17,Pathanamthitta,2014,LDF,IND,Peelipose Thomas,302651,34.8,1323906,871251,65.81
17,Pathanamthitta,2014,NDA,BJP,M. T. Ramesh,138954,17.4,1323906,871251,65.81
18,Kollam,2014,UDF,RSP,N. K. Premachandran,408528,46.5,1219415,879228,72.1
18,Kollam,2014,LDF,CPI(M),M. A. Baby,370879,42.2,1219415,879228,72.1
18,Kollam,2014,NDA,BJP,P. M. Velayudhan,58671,6.7,1219415,879228,72.1
19,Attingal,2014,UDF,INC,Bindu Krishna,323100,37.6,1251398,859365,68.67
19,Attingal,2014,LDF,CPI(M),A. Sampath,392478,45.7,1251398,859365,68.67
19,Attingal,2014,NDA,BJP,Girijakumari S,90528,11.2,1251398,859365,68.67
20,Thiruvananthapuram,2014,UDF,INC,Shashi Tharoor,297806,34.1,1272748,873462,68.63
20,Thiruvananthapuram,2014,LDF,CPI,Bennet Abraham,248941,28.5,1272748,873462,68.63
20,Thiruvananthapuram,2014,NDA,BJP,O. Rajagopal,282336,34,1272748,873462,68.63
1,Kasaragod,2009,UDF,INC,Shahida Kamal,321095,37.91,1113954,846707,76.01
1,Kasaragod,2009,LDF,CPI(M),P. Karunakaran,385522,45.51,1113954,846707,76.01
1,Kasaragod,2009,NDA,BJP,K. Surendran,125482,14.81,1113954,846707,76.01
2,Kannur,2009,UDF,INC,K. Sudhakaran,432878,50.11,1069725,863947,80.76
2,Kannur,2009,LDF,CPI(M),K. K. Ragesh,389727,45.12,1069725,863947,80.76
2,Kannur,2009,NDA,BJP,P. P. Karunakaran,27123,3.14,1069725,863947,80.76
3,Vatakara,2009,UDF,INC,Mullappally Ramachandran,421255,48.82,1071171,863136,80.58
3,Vatakara,2009,LDF,CPI(M),P. Satheedevi,365069,42.31,1071171,863136,80.58
3,Vatakara,2009,NDA,BJP,K. P. Sreesan,40391,4.68,1071171,863136,80.58
4,Wayanad,2009,UDF,INC,M. I. Shanavas,410703,49.86,1102130,822167,74.6
4,Wayanad,2009,LDF,CPI(M),M. Rahmathulla,257264,42.31,1102130,822167,74.6
4,Wayanad,2009,NDA,BJP,C. Vasudevan,19623,4.1,1102130,822167,74.6
5,Kozhikode,2009,UDF,INC,M. K. Raghavan,342309,42.92,1053817,798060,75.73
5,Kozhikode,2009,LDF,CPI(M),P. A. Mohamed Riyas,341471,42.81,1053817,798060,75.73
5,Kozhikode,2009,NDA,BJP,V. Muraleedharan,89718,11.25,1053817,798060,75.73
6,Malappuram,2009,UDF,IUML,E. Ahamed,427940,54.64,1018883,781128,76.67
6,Malappuram,2009,LDF,CPI(M),T. K. Hamza,312343,39.88,1018883,781128,76.67
6,Malappuram,2009,NDA,BJP,N. Aravindan,36016,4.6,1018883,781128,76.67
7,Ponnani,2009,UDF,IUML,E. T. Muhammed Basheer,385801,50.14,995913,768350,77.15
7,Ponnani,2009,LDF,IND,Hussain Randathani,303117,39.4,995913,768350,77.15
7,Ponnani,2009,NDA,BJP,K. Janachandran,57710,11.25,995913,768350,77.15
8,Palakkad,2009,UDF,INC,Satheesan Pacheni,336250,42.58,1074818,788240,73.34
8,Palakkad,2009,LDF,CPI(M),M. B. Rajesh,338070,42.81,1074818,788240,73.34
8,Palakkad,2009,NDA,BJP,C. K. Padmanabhan,68804,8.71,1074818,788240,73.34
9,Alathur (SC),2009,UDF,INC,N. K. Sudheer,366392,44.22,1102765,826891,74.98
9,Alathur (SC),2009,LDF,CPI(M),P. K. Biju,387352,46.75,1102765,826891,74.98
9,Alathur (SC),2009,NDA,BJP,M. Bindu,53890,6.5,1102765,826891,74.98
10,Thrissur,2009,UDF,INC,P. C. Chacko,385297,47.23,1174161,815868,69.49
10,Thrissur,2009,LDF,CPI,C. N. Jayadevan,360146,44.14,1174161,815868,69.49
10,Thrissur,2009,NDA,BJP,Rama Ragunandan,54680,6.7,1174161,815868,69.49
11,Chalakudy,2009,UDF,INC,K. P. Dhanapalan,399035,50.33,1023053,791115,77.33
11,Chalakudy,2009,LDF,CPI(M),U. P. Joseph,327356,41.29,1023053,791115,77.33
11,Chalakudy,2009,NDA,BJP,K. V. Sabu,45367,5.72,1023053,791115,77.33
12,Ernakulam,2009,UDF,INC,K. V. Thomas,342845,46.03,1075526,743636,69.14
12,Ernakulam,2009,LDF,CPI(M),Sindhu Joy,331055,44.44,1075526,743636,69.14
12,Ernakulam,2009,NDA,BJP,A. N. Radhakrishnan,52968,6.5,1075526,743636,69.14
13,Idukki,2009,UDF,INC,P. T. Thomas,408484,51.98,1062849,786041,73.96
13,Idukki,2009,LDF,KEC,K. Francis George,333688,42.46,1062849,786041,73.96
13,Idukki,2009,NDA,BJP,Sreenagiri Rajan,28227,3.59,1062849,786041,73.96
14,Kottayam,2009,UDF,KC(M),Jose K. Mani,404962,50.13,1095242,805521,73.55
14,Kottayam,2009,LDF,CPI(M),K. Suresh Kurup,333392,41.27,1095242,805521,73.55
14,Kottayam,2009,NDA,BJP,N. K. Narayanan,37422,4.63,1095242,805521,73.55
15,Alappuzha,2009,UDF,INC,K. C. Venugopal,468679,51.62,1154779,903881,78.27
15,Alappuzha,2009,LDF,CPI(M),K. S. Manoj,411044,45.27,1154779,903881,78.27
15,Alappuzha,2009,NDA,JD(U),P.J Kurian,1025,0.001,1154779,903881,78.27
16,Mavelikkara (SC),2009,UDF,INC,Kodikkunnil Suresh,397211,49.42,1143111,801262,70.09
16,Mavelikkara (SC),2009,LDF,CPI,R. S. Anil,349163,43.44,1143111,801262,70.09
16,Mavelikkara (SC),2009,NDA,BJP,P. M. Velayudhan,40992,5.1,1143111,801262,70.09
17,Pathanamthitta,2009,UDF,INC,Anto Antony,408232,51.21,1213370,795245,65.54
17,Pathanamthitta,2009,LDF,CPI(M),Kananthagopan,297026,37.26,1213370,795245,65.54
17,Pathanamthitta,2009,NDA,BJP,B. Radhakrishna Menon,56294,7.06,1213370,795245,65.54
18,Kollam,2009,UDF,INC,N. Peethambarakurup,357401,47.52,1106712,748592,67.64
18,Kollam,2009,LDF,CPI(M),P. Rajendran,339870,45.19,1106712,748592,67.64
18,Kollam,2009,NDA,BJP,Vayakal Madhu,33078,4.4,1106712,748592,67.64
19,Attingal,2009,UDF,INC,G. Balachandran,309695,42.83,1091432,720700,66.03
19,Attingal,2009,LDF,CPI(M),A. Sampath,328036,45.37,1091432,720700,66.03
19,Attingal,2009,NDA,BJP,Thottakkad Sasi,47620,6.59,1091432,720700,66.03
20,Thiruvananthapuram,2009,UDF,INC,Shashi Tharoor,326725,44.29,1122047,734924,65.5
20,Thiruvananthapuram,2009,LDF,CPI,P. Ramachandran Nair,226727,30.74,1122047,734924,65.5
20,Thiruvananthapuram,2009,NDA,BJP,P. K. Krishnadas,84094,11.4,1122047,734924,65.5
