#,Constituency,Year,AssemblyNumber,Assembly,Alliance,Votes,Candidate,Party,Position,VoteShare%
10,Thrissur,2014,67,Thrissur,NDA,12166,K. P. Sreesan,BJP,Third,11.00%
10,Thrissur,2014,68,Nattika,LDF,60013,C. N. Jayadevan,CPI,First,45.10%
10,Thrissur,2014,68,Nattika,UDF,46048,K. P. Dhanapalan,INC,Second,34.60%
10,Thrissur,2014,68,Nattika,NDA,16785,K. P. Sreesan,BJP,Third,12.60%
10,Thrissur,2014,69,Irinjalakuda,LDF,56314,C. N. Jayadevan,CPI,First,43.40%
10,Thrissur,2014,69,Irinjalakuda,UDF,51313,K. P. Dhanapalan,INC,Second,39.60%
10,Thrissur,2014,69,Irinjalakuda,NDA,14048,K. P. Sreesan,BJP,Third,10.80%
10,Thrissur,2014,70,Puthukkad,LDF,62300,C. N. Jayadevan,CPI,First,46.10%
10,Thrissur,2014,70,Puthukkad,UDF,48353,K. P. Dhanapalan,INC,Second,35.80%
10,Thrissur,2014,70,Puthukkad,NDA,16253,K. P. Sreesan,BJP,Third,12.00%
11,Chalakudy,2014,71,Kaipamangalam,LDF,49833,Innocent,LDF-IND,First,42.80%
11,Chalakudy,2014,71,Kaipamangalam,UDF,36575,P. C. Chacko,INC,Second,31.40%
11,Chalakudy,2014,71,Kaipamangalam,NDA,16434,B. Gopalakrishnan,BJP,Third,14.10%
11,Chalakudy,2014,72,Chalakudy,UDF,55279,P. C. Chacko,INC,First,42.40%
11,Chalakudy,2014,72,Chalakudy,LDF,54662,Innocent,LDF-IND,Second,41.90%
11,Chalakudy,2014,72,Chalakudy,NDA,13285,B. Gopalakrishnan,BJP,Third,10.20%
11,Chalakudy,2014,73,Kodungallur,LDF,51823,Innocent,LDF-IND,First,40.60%
11,Chalakudy,2014,73,Kodungallur,UDF,47850,P. C. Chacko,INC,Second,37.50%
11,Chalakudy,2014,73,Kodungallur,NDA,18101,B. Gopalakrishnan,BJP,Third,14.20%
11,Chalakudy,2014,74,Perumbavoor,LDF,51036,Innocent,LDF-IND,First,41.40%
11,Chalakudy,2014,74,Perumbavoor,UDF,48229,P. C. Chacko,INC,Second,39.10%
11,Chalakudy,2014,74,Perumbavoor,NDA,12985,B. Gopalakrishnan,BJP,Third,10.50%
11,Chalakudy,2014,75,Angamaly,UDF,55431,P. C. Chacko,INC,First,46.30%
11,Chalakudy,2014,75,Angamaly,LDF,49509,Innocent,LDF-IND,Second,41.30%
11,Chalakudy,2014,75,Angamaly,NDA,8009,B. Gopalakrishnan,BJP,Third,6.70%
11,Chalakudy,2014,76,Aluva,UDF,49725,P. C. Chacko,INC,First,39.40%
11,Chalakudy,2014,76,Aluva,LDF,47639,Innocent,LDF-IND,Second,37.70%
11,Chalakudy,2014,76,Aluva,NDA,13584,B. Gopalakrishnan,BJP,Third,10.80%
11,Chalakudy,2014,77,Kunnathunad,LDF,53518,Innocent,LDF-IND,First,41.60%
11,Chalakudy,2014,77,Kunnathunad,UDF,51133,P. C. Chacko,INC,Second,39.70%
11,Chalakudy,2014,77,Kunnathunad,NDA,10395,B. Gopalakrishnan,BJP,Third,8.10%
12,Ernakulam,2014,78,Kalamassery,UDF,51037,K. V. Thomas,INC,First,39.10%
12,Ernakulam,2014,78,Kalamassery,LDF,42379,Christy Fernandez,LDF-IND,Second,32.40%
12,Ernakulam,2014,78,Kalamassery,NDA,17558,A. N. Radhakrishnan,BJP,Third,13.40%
12,Ernakulam,2014,79,Paravur,UDF,55471,K. V. Thomas,INC,First,40.00%
12,Ernakulam,2014,79,Paravur,LDF,47706,Christy Fernandez,LDF-IND,Second,34.40%
12,Ernakulam,2014,79,Paravur,NDA,15917,A. N. Radhakrishnan,BJP,Third,11.50%
12,Ernakulam,2014,80,Vypen,UDF,49165,K. V. Thomas,INC,First,42.60%
12,Ernakulam,2014,80,Vypen,LDF,39548,Christy Fernandez,LDF-IND,Second,34.20%
12,Ernakulam,2014,80,Vypen,NDA,9324,A. N. Radhakrishnan,BJP,Third,8.10%
12,Ernakulam,2014,81,Kochi,UDF,50548,K. V. Thomas,INC,First,46.30%
12,Ernakulam,2014,81,Kochi,LDF,30186,Christy Fernandez,LDF-IND,Second,27.70%
12,Ernakulam,2014,81,Kochi,NDA,9984,A. N. Radhakrishnan,BJP,Third,9.20%
12,Ernakulam,2014,82,Thrippunithura,UDF,51605,K. V. Thomas,INC,First,39.50%
12,Ernakulam,2014,82,Thrippunithura,LDF,45034,Christy Fernandez,LDF-IND,Second,34.50%
12,Ernakulam,2014,82,Thrippunithura,NDA,16676,A. N. Radhakrishnan,BJP,Third,12.80%
12,Ernakulam,2014,83,Ernakulam,UDF,43516,K. V. Thomas,INC,First,44.80%
12,Ernakulam,2014,83,Ernakulam,LDF,26623,Christy Fernandez,LDF-IND,Second,27.40%
12,Ernakulam,2014,83,Ernakulam,NDA,14375,A. N. Radhakrishnan,BJP,Third,14.80%
12,Ernakulam,2014,84,Thrikkakara,UDF,52210,K. V. Thomas,INC,First,44.00%
12,Ernakulam,2014,84,Thrikkakara,LDF,34896,Christy Fernandez,LDF-IND,Second,29.40%
12,Ernakulam,2014,84,Thrikkakara,NDA,15099,A. N. Radhakrishnan,BJP,Third,12.70%
13,Idukki,2014,85,Muvattupuzha,UDF,52414,Dean Kuriakose,INC,First,45.00%
13,Idukki,2014,85,Muvattupuzha,LDF,46842,Joice George,LDF-IND,Second,40.20%
13,Idukki,2014,85,Muvattupuzha,NDA,8137,Sabu Varghese,BJP,Third,7.00%
13,Idukki,2014,86,Kothamangalam,UDF,47578,Dean Kuriakose,INC,First,44.20%
13,Idukki,2014,86,Kothamangalam,LDF,45102,Joice George,LDF-IND,Second,41.90%
13,Idukki,2014,86,Kothamangalam,NDA,7349,Sabu Varghese,BJP,Third,6.80%
13,Idukki,2014,87,Devikulam,LDF,53647,Joice George,LDF-IND,First,49.60%
13,Idukki,2014,87,Devikulam,UDF,44526,Dean Kuriakose,INC,Second,41.10%
13,Idukki,2014,87,Devikulam,NDA,5592,Sabu Varghese,BJP,Third,5.20%
13,Idukki,2014,88,Udumbanchola,LDF,62363,Joice George,LDF-IND,First,55.20%
13,Idukki,2014,88,Udumbanchola,UDF,39671,Dean Kuriakose,INC,Second,35.10%
13,Idukki,2014,88,Udumbanchola,NDA,5896,Sabu Varghese,BJP,Third,5.20%
13,Idukki,2014,89,Thodupuzha,UDF,54321,Dean Kuriakose,INC,First,43.10%
13,Idukki,2014,89,Thodupuzha,LDF,51233,Joice George,LDF-IND,Second,40.60%
13,Idukki,2014,89,Thodupuzha,NDA,12332,Sabu Varghese,BJP,Third,9.80%
13,Idukki,2014,90,Idukki,LDF,68100,Joice George,LDF-IND,First,56.10%
13,Idukki,2014,90,Idukki,UDF,43873,Dean Kuriakose,INC,Second,36.10%
13,Idukki,2014,90,Idukki,NDA,4752,Sabu Varghese,BJP,Third,3.90%
13,Idukki,2014,91,Peerumade,LDF,54351,Joice George,LDF-IND,First,47.90%
13,Idukki,2014,91,Peerumade,UDF,48372,Dean Kuriakose,INC,Second,42.60%
13,Idukki,2014,91,Peerumade,NDA,6347,Sabu Varghese,BJP,Third,5.60%
14,Kottayam,2014,92,Piravom,UDF,63942,Jose K. Mani,KC(M),First,48.00%
14,Kottayam,2014,92,Piravom,LDF,55611,Mathew T. Thomas,JD(S),Second,41.80%
14,Kottayam,2014,92,Piravom,OTHERS,5954,Anil Aikkara,AAP,Third,4.50%
14,Kottayam,2014,93,Pala,UDF,66968,Jose K. Mani,KC(M),First,57.50%
14,Kottayam,2014,93,Pala,LDF,35569,Mathew T. Thomas,JD(S),Second,30.50%
14,Kottayam,2014,93,Pala,NDA,8533,Noble Mathew,KC(N),Third,7.30%
14,Kottayam,2014,94,Kaduthuruthy,UDF,63554,Jose K. Mani,KC(M),First,55.10%
14,Kottayam,2014,94,Kaduthuruthy,LDF,38594,Mathew T. Thomas,JD(S),Second,33.50%
14,Kottayam,2014,94,Kaduthuruthy,NDA,6218,Noble Mathew,KC(N),Third,5.40%
14,Kottayam,2014,95,Vaikom,UDF,54623,Jose K. Mani,KC(M),First,46.10%
14,Kottayam,2014,95,Vaikom,LDF,52550,Mathew T. Thomas,JD(S),Second,44.30%
14,Kottayam,2014,95,Vaikom,NDA,5184,Noble Mathew,KC(N),Third,4.40%
14,Kottayam,2014,96,Ettumanoor,UDF,56429,Jose K. Mani,KC(M),First,50.50%
14,Kottayam,2014,96,Ettumanoor,LDF,43921,Mathew T. Thomas,JD(S),Second,39.30%
14,Kottayam,2014,96,Ettumanoor,NDA,5540,Noble Mathew,KC(N),Third,5.00%
14,Kottayam,2014,97,Kottayam,UDF,56395,Jose K. Mani,KC(M),First,51.60%
14,Kottayam,2014,97,Kottayam,LDF,39943,Mathew T. Thomas,JD(S),Second,36.60%
14,Kottayam,2014,97,Kottayam,NDA,6783,Noble Mathew,KC(N),Third,6.20%
14,Kottayam,2014,98,Puthuppally,UDF,61552,Jose K. Mani,KC(M),First,55.10%
14,Kottayam,2014,98,Puthuppally,LDF,36793,Mathew T. Thomas,JD(S),Second,33.00%
14,Kottayam,2014,98,Puthuppally,NDA,7372,Noble Mathew,KC(N),Third,6.60%
15,Alappuzha,2014,99,Aroor,UDF,66584,K. C. Venugopal,INC,First,46.00%
15,Alappuzha,2014,99,Aroor,LDF,65621,C. B. Chandrababu,CPI(M),Second,45.30%
15,Alappuzha,2014,99,Aroor,NDA,6907,A.V. Thamarakshan,RSP(B),Third,4.80%
15,Alappuzha,2014,100,Cherthala,UDF,76747,K. C. Venugopal,INC,First,47.20%
15,Alappuzha,2014,100,Cherthala,LDF,75398,C. B. Chandrababu,CPI(M),Second,46.30%
15,Alappuzha,2014,100,Cherthala,NDA,6149,A.V. Thamarakshan,RSP(B),Third,3.80%
15,Alappuzha,2014,101,Alappuzha,UDF,70206,K. C. Venugopal,INC,First,49.60%
15,Alappuzha,2014,101,Alappuzha,LDF,62507,C. B. Chandrababu,CPI(M),Second,44.10%
15,Alappuzha,2014,101,Alappuzha,NDA,3827,A.V. Thamarakshan,RSP(B),Third,2.70%
15,Alappuzha,2014,102,Ambalappuzha,UDF,54553,K. C. Venugopal,INC,First,46.20%
15,Alappuzha,2014,102,Ambalappuzha,LDF,51316,C. B. Chandrababu,CPI(M),Second,43.40%
15,Alappuzha,2014,102,Ambalappuzha,NDA,5454,A.V. Thamarakshan,RSP(B),Third,4.60%
15,Alappuzha,2014,103,Haripad,UDF,66687,K. C. Venugopal,INC,First,50.10%
15,Alappuzha,2014,103,Haripad,LDF,57822,C. B. Chandrababu,CPI(M),Second,43.50%
15,Alappuzha,2014,103,Haripad,NDA,4794,A.V. Thamarakshan,RSP(B),Third,3.60%
15,Alappuzha,2014,104,Kayamkulam,LDF,65948,C. B. Chandrababu,CPI(M),First,47.20%
15,Alappuzha,2014,104,Kayamkulam,UDF,62662,K. C. Venugopal,INC,Second,44.90%
15,Alappuzha,2014,104,Kayamkulam,NDA,6442,A.V. Thamarakshan,RSP(B),Third,4.60%
15,Alappuzha,2014,105,Karunagappally,UDF,63662,K. C. Venugopal,INC,First,44.50%
15,Alappuzha,2014,105,Karunagappally,LDF,62959,C. B. Chandrababu,CPI(M),Second,44.00%
15,Alappuzha,2014,105,Karunagappally,NDA,9433,A.V. Thamarakshan,RSP(B),Third,6.60%
16,Mavelikkara (SC),2014,106,Changanassery,UDF,52020,Kodikkunnil Suresh,INC,First,48.60%
16,Mavelikkara (SC),2014,106,Changanassery,LDF,41624,Chengara Surendran,CPI,Second,38.80%
16,Mavelikkara (SC),2014,106,Changanassery,NDA,9239,P. Sudheer,BJP,Third,8.60%
16,Mavelikkara (SC),2014,107,Kuttanad,UDF,51703,Kodikkunnil Suresh,INC,First,45.60%
16,Mavelikkara (SC),2014,107,Kuttanad,LDF,50508,Chengara Surendran,CPI,Second,44.50%
16,Mavelikkara (SC),2014,107,Kuttanad,NDA,8739,P. Sudheer,BJP,Third,7.70%
16,Mavelikkara (SC),2014,108,Mavelikara,LDF,61350,Chengara Surendran,CPI,First,46.00%
16,Mavelikkara (SC),2014,108,Mavelikara,UDF,54883,Kodikkunnil Suresh,INC,Second,41.20%
16,Mavelikkara (SC),2014,108,Mavelikara,NDA,13067,P. Sudheer,BJP,Third,9.80%
16,Mavelikkara (SC),2014,109,Chengannur,UDF,55769,Kodikkunnil Suresh,INC,First,45.50%
16,Mavelikkara (SC),2014,109,Chengannur,LDF,47951,Chengara Surendran,CPI,Second,39.10%
16,Mavelikkara (SC),2014,109,Chengannur,NDA,15716,P. Sudheer,BJP,Third,12.80%
16,Mavelikkara (SC),2014,110,Kunnathur,UDF,63686,Kodikkunnil Suresh,INC,First,43.60%
16,Mavelikkara (SC),2014,110,Kunnathur,LDF,63599,Chengara Surendran,CPI,Second,43.60%
16,Mavelikkara (SC),2014,110,Kunnathur,NDA,11902,P. Sudheer,BJP,Third,8.20%
16,Mavelikkara (SC),2014,111,Kottarakkara,UDF,61444,Kodikkunnil Suresh,INC,First,46.10%
16,Mavelikkara (SC),2014,111,Kottarakkara,LDF,56799,Chengara Surendran,CPI,Second,42.60%
16,Mavelikkara (SC),2014,111,Kottarakkara,NDA,11785,P. Sudheer,BJP,Third,8.80%
16,Mavelikkara (SC),2014,112,Pathanapuram,UDF,61980,Kodikkunnil Suresh,INC,First,50.70%
16,Mavelikkara (SC),2014,112,Pathanapuram,LDF,47061,Chengara Surendran,CPI,Second,38.50%
16,Mavelikkara (SC),2014,112,Pathanapuram,NDA,9218,P. Sudheer,BJP,Third,7.50%
17,Pathanamthitta,2014,113,Kanjirappally,UDF,45593,Anto Antony,INC,First,41.00%
17,Pathanamthitta,2014,113,Kanjirappally,LDF,35867,Peelipose Thomas,LDF-IND,Second,32.30%
17,Pathanamthitta,2014,113,Kanjirappally,NDA,20840,M. T. Ramesh,BJP,Third,18.70%
17,Pathanamthitta,2014,114,Poonjar,UDF,43614,Anto Antony,INC,First,39.80%
17,Pathanamthitta,2014,114,Poonjar,LDF,40853,Peelipose Thomas,LDF-IND,Second,37.30%
17,Pathanamthitta,2014,114,Poonjar,NDA,15099,M. T. Ramesh,BJP,Third,13.80%
17,Pathanamthitta,2014,115,Thiruvalla,UDF,55701,Anto Antony,INC,First,45.30%
17,Pathanamthitta,2014,115,Thiruvalla,LDF,42420,Peelipose Thomas,LDF-IND,Second,34.50%
17,Pathanamthitta,2014,115,Thiruvalla,NDA,19526,M. T. Ramesh,BJP,Third,15.90%
17,Pathanamthitta,2014,116,Ranni,UDF,48909,Anto Antony,INC,First,43.00%
17,Pathanamthitta,2014,116,Ranni,LDF,39818,Peelipose Thomas,LDF-IND,Second,35.00%
17,Pathanamthitta,2014,116,Ranni,NDA,18531,M. T. Ramesh,BJP,Third,16.30%
17,Pathanamthitta,2014,117,Aranmula,UDF,58826,Anto Antony,INC,First,43.30%
17,Pathanamthitta,2014,117,Aranmula,LDF,47477,Peelipose Thomas,LDF-IND,Second,34.90%
17,Pathanamthitta,2014,117,Aranmula,NDA,23771,M. T. Ramesh,BJP,Third,17.50%
17,Pathanamthitta,2014,118,Konni,UDF,53480,Anto Antony,INC,First,42.90%
17,Pathanamthitta,2014,118,Konni,LDF,45384,Peelipose Thomas,LDF-IND,Second,36.40%
17,Pathanamthitta,2014,118,Konni,NDA,18222,M. T. Ramesh,BJP,Third,14.60%
17,Pathanamthitta,2014,119,Adoor,UDF,52312,Anto Antony,INC,First,39.10%
17,Pathanamthitta,2014,119,Adoor,LDF,50354,Peelipose Thomas,LDF-IND,Second,37.70%
17,Pathanamthitta,2014,119,Adoor,NDA,22796,M. T. Ramesh,BJP,Third,17.00%
18,Kollam,2014,120,Chavara,UDF,68878,N. K. Premachandran,RSP,First,55.40%
18,Kollam,2014,120,Chavara,LDF,44437,M. A. Baby,CPI(M),Second,35.80%
18,Kollam,2014,120,Chavara,NDA,6739,P. M. Velayudhan,BJP,Third,5.40%
18,Kollam,2014,121,Punalur,LDF,63227,M. A. Baby,CPI(M),First,46.50%
18,Kollam,2014,121,Punalur,UDF,58587,N. K. Premachandran,RSP,Second,43.10%
18,Kollam,2014,121,Punalur,NDA,8961,P. M. Velayudhan,BJP,Third,6.60%
18,Kollam,2014,122,Chadayamangalam,LDF,59567,M. A. Baby,CPI(M),First,46.10%
18,Kollam,2014,122,Chadayamangalam,UDF,52761,N. K. Premachandran,RSP,Second,40.90%
18,Kollam,2014,122,Chadayamangalam,NDA,9473,P. M. Velayudhan,BJP,Third,7.30%
18,Kollam,2014,123,Kundara,UDF,64351,N. K. Premachandran,RSP,First,47.50%
18,Kollam,2014,123,Kundara,LDF,57440,M. A. Baby,CPI(M),Second,42.40%
18,Kollam,2014,123,Kundara,NDA,8724,P. M. Velayudhan,BJP,Third,6.40%
18,Kollam,2014,124,Kollam,UDF,59685,N. K. Premachandran,RSP,First,50.80%
18,Kollam,2014,124,Kollam,LDF,45443,M. A. Baby,CPI(M),Second,38.70%
18,Kollam,2014,124,Kollam,NDA,8322,P. M. Velayudhan,BJP,Third,7.10%
18,Kollam,2014,125,Eravipuram,UDF,52500,N. K. Premachandran,RSP,First,48.00%
18,Kollam,2014,125,Eravipuram,LDF,45936,M. A. Baby,CPI(M),Second,42.00%
18,Kollam,2014,125,Eravipuram,NDA,6864,P. M. Velayudhan,BJP,Third,6.30%
18,Kollam,2014,126,Chathannoor,LDF,53293,M. A. Baby,CPI(M),First,45.70%
18,Kollam,2014,126,Chathannoor,UDF,50259,N. K. Premachandran,RSP,Second,43.10%
18,Kollam,2014,126,Chathannoor,NDA,9522,P. M. Velayudhan,BJP,Third,8.20%
19,Attingal,2014,127,Varkala,LDF,50382,A. Sampath,CPI(M),First,46.20%
19,Attingal,2014,127,Varkala,UDF,41369,Bindhu Krishna,INC,Second,37.90%
19,Attingal,2014,127,Varkala,NDA,10219,Girija Kumari S,BJP,Third,9.40%
19,Attingal,2014,128,Attingal,LDF,64215,A. Sampath,CPI(M),First,50.70%
19,Attingal,2014,128,Attingal,UDF,43260,Bindhu Krishna,INC,Second,34.10%
19,Attingal,2014,128,Attingal,NDA,11587,Girija Kumari S,BJP,Third,9.10%
19,Attingal,2014,129,Chirayinkeezhu,LDF,59186,A. Sampath,CPI(M),First,48.00%
19,Attingal,2014,129,Chirayinkeezhu,UDF,47704,Bindhu Krishna,INC,Second,38.70%
19,Attingal,2014,129,Chirayinkeezhu,NDA,8377,Girija Kumari S,BJP,Third,6.80%
19,Attingal,2014,130,Nedumangad,LDF,59283,A. Sampath,CPI(M),First,46.60%
19,Attingal,2014,130,Nedumangad,UDF,45769,Bindhu Krishna,INC,Second,36.00%
19,Attingal,2014,130,Nedumangad,NDA,15304,Girija Kumari S,BJP,Third,12.00%
19,Attingal,2014,131,Vamanapuram,LDF,56922,A. Sampath,CPI(M),First,45.00%
19,Attingal,2014,131,Vamanapuram,UDF,51226,Bindhu Krishna,INC,Second,40.50%
19,Attingal,2014,131,Vamanapuram,NDA,11207,Girija Kumari S,BJP,Third,8.90%
19,Attingal,2014,132,Aruvikkara,LDF,52000,A. Sampath,CPI(M),First,43.30%
19,Attingal,2014,132,Aruvikkara,UDF,47837,Bindhu Krishna,INC,Second,39.90%
19,Attingal,2014,132,Aruvikkara,NDA,14890,Girija Kumari S,BJP,Third,12.40%
19,Attingal,2014,133,Kattakkada,LDF,49358,A. Sampath,CPI(M),First,42.30%
19,Attingal,2014,133,Kattakkada,UDF,44375,Bindhu Krishna,INC,Second,38.00%
19,Attingal,2014,133,Kattakkada,NDA,18811,Girija Kumari S,BJP,Third,16.10%
20,Thiruvananthapuram,2014,134,Kazhakoottam,NDA,41829,O. Rajagopal,BJP,First,37.10%
20,Thiruvananthapuram,2014,134,Kazhakoottam,UDF,34220,Shashi Tharoor,INC,Second,30.40%
20,Thiruvananthapuram,2014,134,Kazhakoottam,LDF,31799,Bennet Abraham,CPI,Third,28.20%
20,Thiruvananthapuram,2014,135,Vattiyoorkavu,NDA,43589,O. Rajagopal,BJP,First,37.10%
20,Thiruvananthapuram,2014,135,Vattiyoorkavu,UDF,40663,Shashi Tharoor,INC,Second,34.60%
20,Thiruvananthapuram,2014,135,Vattiyoorkavu,LDF,27504,Bennet Abraham,CPI,Third,23.40%
20,Thiruvananthapuram,2014,136,Thiruvananthapuram,NDA,40835,O. Rajagopal,BJP,First,36.00%
20,Thiruvananthapuram,2014,136,Thiruvananthapuram,UDF,39027,Shashi Tharoor,INC,Second,34.40%
20,Thiruvananthapuram,2014,136,Thiruvananthapuram,LDF,27385,Bennet Abraham,CPI,Third,24.10%
20,Thiruvananthapuram,2014,137,Nemom,NDA,50685,O. Rajagopal,BJP,First,42.10%
20,Thiruvananthapuram,2014,137,Nemom,UDF,32639,Shashi Tharoor,INC,Second,27.10%
20,Thiruvananthapuram,2014,137,Nemom,LDF,31643,Bennet Abraham,CPI,Third,26.30%
20,Thiruvananthapuram,2014,138,Parassala,UDF,50360,Shashi Tharoor,INC,First,34.80%
20,Thiruvananthapuram,2014,138,Parassala,LDF,47953,Bennet Abraham,CPI,Second,33.20%
20,Thiruvananthapuram,2014,138,Parassala,NDA,39753,O. Rajagopal,BJP,Third,27.50%
20,Thiruvananthapuram,2014,139,Kovalam,UDF,51401,Shashi Tharoor,INC,First,37.70%
20,Thiruvananthapuram,2014,139,Kovalam,LDF,42112,Bennet Abraham,CPI,Second,30.90%
20,Thiruvananthapuram,2014,139,Kovalam,NDA,36169,O. Rajagopal,BJP,Third,26.50%
20,Thiruvananthapuram,2014,140,Neyyattinkara,UDF,48009,Shashi Tharoor,INC,First,39.30%
20,Thiruvananthapuram,2014,140,Neyyattinkara,LDF,39806,Bennet Abraham,CPI,Second,32.60%
20,Thiruvananthapuram,2014,140,Neyyattinkara,NDA,28958,O. Rajagopal,BJP,Third,23.70%
