Name,State,Constituency,Party,Gender,Education,Age,Participation in Debates,Private Member's Bills,Questions asked,Attendance,Notes
A. Chellakumar,Tamil Nadu,Krishnagiri,Indian National Congress,Male,Information Not Available,64,27,0,195,0.65,Data corresponds to the period from 01-06-2019 to 10-02-2024.
A. Ganeshamurthi,Tamil Nadu,Erode,Dravida Munnetra Kazhagam,Male,Graduate,76,30,1,276,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
A. M. Arif,Kerala,Alappuzha,Communist Party of India (Marxist),Male,Professional Graduate,59,113,1,244,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
A.K.P. Chinraj,Tamil Nadu,Namakkal,Dravida Munnetra Kazhagam,Male,Information Not Available,58,12,0,263,0.72,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abdul Khaleque,Assam,Barpeta,Indian National Congress,Male,Post Graduate,53,68,8,279,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abhishek Banerjee,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Post Graduate,36,2,0,84,0.15,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abu Hasem Khan Choudhury,West Bengal,Maldaha Dakshin,Indian National Congress,Male,Graduate,86,5,0,12,0.58,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Abu Taher Khan,West Bengal,Murshidabad,All India Trinamool Congress,Male,Information Not Available,62,6,0,4,0.64,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Achyutananda Samanta,Odisha,Kandhamal,Biju Janata Dal,Male,Doctorate,60,33,0,169,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adala Prabhakara Reddy,Andhra Pradesh,Nellore,Yuvajana Sramika Rythu Congress Party,Male,Inter/ Higher Secondary,75,2,0,232,0.58,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adhikari Deepak (Dev),West Bengal,Ghatal,All India Trinamool Congress,Male,Graduate,41,2,0,106,0.12,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adhir Ranjan Chowdhury,West Bengal,Baharampur,Indian National Congress,Male,Under Matric,67,233,5,69,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Adoor Prakash,Kerala,Attingal (SC),Indian National Congress,Male,Professional Graduate,68,66,0,388,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Afzal Ansari,Uttar Pradesh,Ghazipur,Bahujan Samaj Party,Male,Post Graduate,70,3,0,0,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Agatha K. Sangma,Meghalaya,Tura,National Peoples Party,Female,Post Graduate,43,20,0,40,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Kumar Mandal,Bihar,Bhagalpur,Janata Dal (United),Male,Under Matric,53,25,0,226,0.34,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Nishad,Bihar,Muzaffarpur,Bharatiya Janata Party,Male,Graduate,57,34,0,184,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Singh Dharmendra Deol,Punjab,Gurdaspur,Bharatiya Janata Party,Male,Information Not Available,66,0,0,4,0.17,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ajay Tamta,Uttarakhand,Almora,Bharatiya Janata Party,Male,Inter/ Higher Secondary,51,14,0,9,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Akhilesh Yadav,Uttar Pradesh,Azamgarh,Samajwadi Party,Male,Post Graduate,50,5,0,0,0.32,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Akshaibar Lal,Uttar Pradesh,Bahraich,Bharatiya Janata Party,Male,Matric,77,11,0,14,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Alok Kumar Suman,Bihar,Gopalganj,Janata Dal (United),Male,Professional Graduate,66,104,15,270,0.97,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Amar Singh,Punjab,Fatehgarh Sahib,Indian National Congress,Male,Professional Graduate,70,56,0,217,0.86,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Amol Ramsing Kolhe,Maharashtra,Shirur,Nationalist Congress Party,Male,Professional Graduate,43,29,0,621,0.61,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anant Kumar Hegde,Karnataka,Uttara Kannada,Bharatiya Janata Party,Male,Inter/ Higher Secondary,55,0,0,18,0.67,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Andimuthu Raja,Tamil Nadu,Nilgiris,Dravida Munnetra Kazhagam,Male,Post Graduate,60,43,2,271,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anil Firojiya,Madhya Pradesh,Ujjain,Bharatiya Janata Party,Male,Graduate,52,27,0,274,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Annasaheb Shankar Jolle,Karnataka,Chikkodi,Bharatiya Janata Party,Male,Graduate,60,9,0,308,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anto Antony,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,66,61,2,386,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anubhav Mohanty,Odisha,Kendrapara,Biju Janata Dal,Male,Graduate,42,82,3,168,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anumula Revanth Reddy,Telangana,Malkajgiri,Indian National Congress,Male,Graduate,56,17,0,197,0.66,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Anurag Sharma,Uttar Pradesh,Jhansi,Bharatiya Janata Party,Male,Post Graduate,59,46,1,348,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Aparajita Sarangi,Odisha,Bhubaneswar,Bharatiya Janata Party,Female,Graduate,54,36,0,212,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Aparupa Poddar (Afrin Ali),West Bengal,Arambagh,All India Trinamool Congress,Female,Post Graduate,38,96,6,147,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Arjun Singh,West Bengal,Barrackpur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,61,14,0,18,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Arjunlal Meena,Rajasthan,Udaipur,Bharatiya Janata Party,Male,Post Graduate,59,39,0,262,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Arun Kumar Sagar,Uttar Pradesh,Shahjahanpur,Bharatiya Janata Party,Male,Information Not Available,47,40,0,172,0.92,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Arun Sao,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Professional Graduate,55,38,0,372,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Arvind Dharmapuri,Telangana,Nizamabad,Bharatiya Janata Party,Male,Post Graduate,47,5,0,92,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Arvind Kumar Sharma,Haryana,Rohtak,Bharatiya Janata Party,Male,Post Graduate,61,18,0,219,0.75,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Asaduddin Owaisi,Telangana,Hyderabad,All India Majlis-E-Ittehadul Muslimeen,Male,Professional Graduate,54,60,3,366,0.72,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ashok Kumar Rawat,Uttar Pradesh,Misrikh,Bharatiya Janata Party,Male,Post Graduate,48,61,0,319,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ashok Kumar Yadav,Bihar,Madhubani,Bharatiya Janata Party,Male,Doctorate,53,12,0,24,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Ashok Mahadeorao Nete,Maharashtra,Gadchiroli-Chimur,Bharatiya Janata Party,Male,Graduate,55,49,4,279,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Asit Kumar Mal,West Bengal,Bolpur,All India Trinamool Congress,Male,Information not available,68,22,0,5,0.75,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Atul Kumar Singh,Uttar Pradesh,Ghosi,Bahujan Samaj Party,Male,Information Not Available,41,0,0,0,0.01,Data corresponds to the period from 01-06-2019 to 10-02-2024.
B.N. Bache Gowda,Karnataka,Chikkballapur,Bharatiya Janata Party,Male,Graduate,81,1,0,32,0.38,Data corresponds to the period from 01-06-2019 to 10-02-2024.
B.Y. Raghavendra,Karnataka,Shimoga,Bharatiya Janata Party,Male,Graduate,50,17,0,220,0.63,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Badruddin Ajmal,Assam,Dhubri,All India United Democratic Front,Male,Post Graduate,68,30,0,270,0.5,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Baidyanath Prasad Mahto,Bihar,Valmiki Nagar,Janata Dal (United),Male,Matric,76,3,0,10,0.65,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Balak Nath,Rajasthan,Alwar,Bharatiya Janata Party,Male,Matric,39,13,0,225,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,Yuvajana Sramika Rythu Congress Party,Male,Graduate,55,16,0,316,0.76,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Balli Durga Prasad Rao,Andhra Pradesh,Tirupati,Yuvajana Sramika Rythu Congress Party,Male,Graduate,67,11,0,46,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Balubhau Dhannorkar,Maharashtra,Chandrapur,Indian National Congress,Male,Information Not Available,48,37,0,281,0.65,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Basanta Kumar Panda,Odisha,Kalahandi,Bharatiya Janata Party,Male,Information Not Available,62,34,0,231,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Beesetti Venkata Satyavathi,Andhra Pradesh,Anakapalli,Yuvajana Sramika Rythu Congress Party,Female,Doctorate,57,76,0,299,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bellana Chandra Sekhar,Andhra Pradesh,Vizianagaram,Yuvajana Sramika Rythu Congress Party,Male,Graduate,62,31,0,310,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Benny Behanan,Kerala,Chalakudy,Indian National Congress,Male,Graduate,71,69,3,343,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bhagirath Chaudhary,Rajasthan,Ajmer,Bharatiya Janata Party,Male,Information Not Available,69,77,0,204,1,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bhagwant Mann,Punjab,Sangrur,Aam Aadmi Party,Male,Under Graduate,50,41,0,43,0.54,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bharatiben Dhirubhai Shiyal,Gujarat,Bhavnagar,Bharatiya Janata Party,Female,Professional Graduate,59,34,0,339,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bhartruhari Mahtab,Odisha,Cuttack,Biju Janata Dal,Male,Post Graduate,66,185,10,311,0.91,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bhavana Pundlikrao Gawali Patil,Maharashtra,Yavatmal-Washim,Shiv Sena,Female,Graduate,50,12,0,222,0.42,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bheemrao B. Patil,Telangana,Zahirabad,Bharat Rashtra Samithi,Male,Graduate,68,66,0,269,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bhola Singh,Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,Male,Graduate,46,35,5,564,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bholanath (B.P. Saroj),Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,Male,Information Not Available,63,13,0,144,0.98,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Bidyut Baran Mahato,Jharkhand,Jamshedpur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,61,87,2,632,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Brij Bhushan Sharan Singh,Uttar Pradesh,Kaiserganj,Bharatiya Janata Party,Male,Post Graduate,67,2,0,148,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Brijendra Singh,Haryana,Hisar,Bharatiya Janata Party,Male,Professional Graduate,51,25,0,162,0.99,Data corresponds to the period from 01-06-2019 to 10-02-2024.
C. Lalrosanga,Mizoram,Mizoram,Mizo National Front,Male,Information Not Available,66,3,0,51,0.62,Data corresponds to the period from 01-06-2019 to 10-02-2024.
C. R. Patil,Gujarat,Navsari,Bharatiya Janata Party,Male,Certificate Course,68,2,0,124,0.74,Data corresponds to the period from 01-06-2019 to 10-02-2024.
C.N. Annadurai,Tamil Nadu,Tiruvannamalai,Dravida Munnetra Kazhagam,Male,Information Not Available,50,55,1,451,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandan Singh,Bihar,Nawada,Lok Jan Shakti Party,Male,Graduate,39,7,0,65,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandeshwar Prasad,Bihar,Jahanabad,Janata Dal (United),Male,Matric,72,50,0,219,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandra Prakash Choudhary,Jharkhand,Giridih,AJSU Party,Male,Graduate,56,15,0,162,0.74,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandra Prakash Joshi,Rajasthan,Chittorgarh,Bharatiya Janata Party,Male,Graduate,48,159,8,328,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandra Sekhar Sahu,Odisha,Berhampur,Biju Janata Dal,Male,Professional Graduate,73,48,0,531,0.65,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandra Sen Jadon,Uttar Pradesh,Firozabad,Bharatiya Janata Party,Male,Graduate,73,17,0,51,0.98,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chandrani Murmu,Odisha,Keonjhar,Biju Janata Dal,Female,Professional Graduate,30,18,0,121,0.8,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chavda Vinod Lakhamashi,Gujarat,Kachchh,Bharatiya Janata Party,Male,Professional Graduate,44,15,0,103,0.73,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chhatar Singh Darbar,Madhya Pradesh,Dhar,Bharatiya Janata Party,Male,Professional Graduate,70,13,0,30,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chhedi Paswan,Bihar,Sasaram,Bharatiya Janata Party,Male,Post Graduate,60,33,0,26,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chinta Anuradha,Andhra Pradesh,Amalapuram,Yuvajana Sramika Rythu Congress Party,Female,Graduate,51,37,1,280,0.67,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chirag Kumar Paswan,Bihar,Jamui,Lok Jan Shakti Party,Male,Professional Graduate,41,15,0,69,0.55,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Choudhury Mohan Jatua,West Bengal,Mathurapur,All India Trinamool Congress,Male,Post Graduate,85,0,0,0,0.3,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chudasama Rajeshbhai Naranbhai,Gujarat,Junagadh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,41,9,0,364,0.78,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Chunni Lal Sahu,Chhattisgarh,Mahasamund,Bharatiya Janata Party,Male,Graduate,55,40,0,128,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
D. Ravikumar,Tamil Nadu,Viluppuram,Dravida Munnetra Kazhagam,Male,Doctorate,63,60,5,220,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
D.K. Suresh,Karnataka,Bangalore Rural,Indian National Congress,Male,Inter/ Higher Secondary,57,21,0,395,0.69,Data corresponds to the period from 01-06-2019 to 10-02-2024.
D.M. Kathir Anand,Tamil Nadu,Vellore,Dravida Munnetra Kazhagam,Male,Post Graduate,49,32,5,262,0.63,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dabhi Bharatsinhji Shankarji,Gujarat,Patan,Bharatiya Janata Party,Male,Graduate,68,6,0,6,0.89,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dayakar Pasunoori,Telangana,Warangal,Bharat Rashtra Samithi,Male,Graduate,56,3,0,149,0.54,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dayanidhi Maran,Tamil Nadu,Chennai Central,Dravida Munnetra Kazhagam,Male,Graduate,57,20,0,136,0.77,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dean Kuriakose,Kerala,Idukki,Indian National Congress,Male,Post Graduate,42,91,12,289,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Deepak Baij,Chhattisgarh,Bastar,Indian National Congress,Male,Information Not Available,42,37,0,301,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Devendra Singh @ Bhole Singh,Uttar Pradesh,Akbarpur,Bharatiya Janata Party,Male,Matric,69,25,0,51,0.87,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Devji Patel,Rajasthan,Jalore,Bharatiya Janata Party,Male,Matric,47,134,5,442,0.74,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dhal Singh Bisen,Madhya Pradesh,Balaghat,Bharatiya Janata Party,Male,Diploma Course,71,73,0,189,0.99,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dhanush M Kumar,Tamil Nadu,Tenkasi,Dravida Munnetra Kazhagam,Male,Professional Post Graduat,48,121,2,490,0.99,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dharambir,Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,Male,Graduate,68,43,0,215,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dharmendra Kumar,Uttar Pradesh,Aonla,Bharatiya Janata Party,Male,Matric,55,8,0,138,0.93,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dibyendu Adhikari,West Bengal,Tamluk,All India Trinamool Congress,Male,Graduate,47,1,0,197,0.24,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dileshwar Kamait,Bihar,Supaul,Janata Dal (United),Male,Graduate,78,56,4,304,0.99,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dilip Ghosh,West Bengal,Medinipur,Bharatiya Janata Party,Male,Professional Graduate,59,11,0,32,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dilip Saikia,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,50,42,3,354,0.81,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dimple Yadav,Uttar Pradesh,Mainpuri,Samajwadi Party,Female,Graduate,46,8,0,16,0.67,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dinesh Chandra Yadav,Bihar,Madhepura,Janata Dal (United),Male,Diploma Course,72,35,0,128,0.83,Data corresponds to the period from 01-06-2019 to 10-02-2024.
"Dinesh Lal ""Nirahua"" Yadav",Uttar Pradesh,Azamgarh,Bharatiya Janata Party,Male,Information Not Available,,3,0,36,0.9,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Diya Kumari,Rajasthan,Rajsamand,Bharatiya Janata Party,Female,Doctorate,53,31,2,198,0.88,Data corresponds to the period from 01-06-2019 to 10-02-2024.
DNV Senthilkumar S.,Tamil Nadu,Dharmapuri,Dravida Munnetra Kazhagam,Male,Professional Post Graduat,46,316,6,511,0.99,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dulal Chandra Goswami,Bihar,Katihar,Janata Dal (United),Male,Graduate,56,48,0,175,0.95,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Durga Das (D.D.) Uikey,Madhya Pradesh,Betul,Bharatiya Janata Party,Male,Post Graduate,60,20,0,57,0.96,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Dushyant Singh,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,Male,Professional Post Graduat,50,75,0,258,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
E. T. Mohammed Basheer,Kerala,Ponnani,Indian Union Muslim League,Male,Inter/ Higher Secondary,77,102,5,224,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Farooq Abdullah,Jammu and Kashmir,Srinagar,Jammu and Kashmir National Conference,Male,Graduate,86,11,0,11,0.61,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Feroze Varun Gandhi,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,Male,Graduate,43,5,5,206,0.79,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Francisco Sardinha,Goa,South Goa,Indian National Congress,Male,Professional Graduate,77,14,0,87,0.94,Data corresponds to the period from 01-06-2019 to 10-02-2024.
G. Selvam,Tamil Nadu,Kancheepuram,Dravida Munnetra Kazhagam,Male,Post Graduate,49,18,1,436,0.82,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Gaddam Ranjith Reddy,Telangana,Chevella,Bharat Rashtra Samithi,Male,Post Graduate,59,37,3,385,0.7,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Gajanan Chandrakant Kirtikar,Maharashtra,Mumbai-North-West,Shiv Sena,Male,Graduate,80,41,0,580,0.71,Data corresponds to the period from 01-06-2019 to 10-02-2024.
Gajendra Umrao Singh Patel,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Professional Graduate,48,28,0,171,0.85,Data corresponds to the period from 01-06-2019 to 10-02-2024.
